github_id,target_role,total_repos,top_languages,topics
sehmaluva,Web Frontend (Lv2. 강한 의심 / 20점),38,"{'TypeScript': 9, 'Python': 8, 'JavaScript': 3}","['github-config', 'sockets-io', 'javascript', 'html-css-javascript', 'open-source', 'sehmaluva', '2025-contributions', 'security', 'portflolio-website', 'malvin']"
vasilirigels,Web Frontend (Lv2. 강한 의심 / 47점),100,"{'JavaScript': 11, 'HTML': 1, 'TypeScript': 1}","['mui-material', 'javascript', 'nextjs', 'tailwind-css', 'vite', 'typescript', 'react']"
Marhardal,X (추론 안됨),13,"{'C#': 3, 'PHP': 2, 'HTML': 1}",[]
eazybytes,"Web Backend (Lv3. 확신 / 104.5점)
 🕵️ 부캐 스캔: DevOps/SRE (Lv1. 의심 / 15점)",21,"{'Java': 11, 'JavaScript': 3, 'CSS': 3}","['yaml-configuration', 'http-service-client', 'gcp-cloud-functions', 'jpa-hibernate', 'saga-pattern', 'gcp-storage', 'java-8', 'springdatajpa', 'spring-ai-openai', 'java7']"
NTDEV-byte,Web Backend (Lv1. 의심 / 12점),15,"{'Java': 12, 'TypeScript': 1, 'PHP': 1}",[]
theodevoid,Web Frontend (Lv2. 강한 의심 / 29점),39,"{'TypeScript': 21, 'JavaScript': 8, 'Swift': 4}","['github-config', 'wilayah-indonesia', 'kode-wilayah', 'provinsi-indonesia', 'config']"
SaraKhamisMostafa,"Web Backend (Lv2. 강한 의심 / 19.0점)
 🕵️ 부캐 스캔: Web Frontend (Lv2. 강한 의심 / 17점)",37,"{'Python': 12, 'HTML': 12, 'JavaScript': 3}","['bootstrap', 'crud-operation', 'social-login', 'javascript', 'api', 'github', 'python', 'django', 'problem-solving', 'oops-in-python']"
libevm,"Web Frontend (Lv2. 강한 의심 / 18점)
 🕵️ 부캐 스캔: Web3/Blockchain (Lv1. 의심 / 14점)",100,"{'Solidity': 14, 'JavaScript': 11, 'Python': 7}",[]
cryptosguru,"Web Frontend (Lv2. 강한 의심 / 38점)
 🕵️ 부캐 스캔: Systems/Embedded (Lv1. 의심 / 9점)",70,"{'JavaScript': 21, 'TypeScript': 9, 'C++': 5}","['crypto', 'reactjs', 'mevbot', 'blockchain', 'trading', 'binance', 'nodejs', 'front-running', 'flashloan', 'mev']"
Hmida71,"Mobile App (Lv2. 강한 의심 / 30점)
 🕵️ 부캐 스캔: Web Frontend (Lv1. 의심 / 6점)",96,"{'Dart': 24, 'JavaScript': 4, 'HTML': 2}","['browser-automation', 'gemini', 'gpt', 'open-source', 'deepseek', 'supabase', 'agentic-ai', 'windows', 'agent', 'ai']"
deeptesh-rout,Web Frontend (Lv2. 강한 의심 / 22점),100,"{'Jupyter Notebook': 14, 'JavaScript': 11, 'Python': 7}","['github-config', 'streamlit', 'javascript', 'cisco', 'pygame', 'cisco-packet-tracer', 'css3', 'json', 'config', 'html']"
codewithdhruba01,"Web Frontend (Lv3. 확신 / 94점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 5.5점)",61,"{'TypeScript': 22, 'HTML': 10, 'JavaScript': 10}","['function', 'string', 'javascript', 'typescript-library', 'recursion', 'numpay', 'sadcn', 'readme-profile', 'algorithms-and-data-structures', 'github']"
mio-dokuhaki,X (추론 안됨),16,"{'Lua': 3, 'Common Lisp': 2, 'Shell': 1}",[]
Yohannes90,"Web Frontend (Lv2. 강한 의심 / 20점)
 🕵️ 부캐 스캔: Web Backend (Lv2. 강한 의심 / 18.0점)",90,"{'Python': 16, 'HTML': 10, 'Java': 10}",[]
The-Young-Programer,Mobile App (Lv2. 강한 의심 / 22점),11,"{'HTML': 1, 'C++': 1, 'Dart': 1}","['github-pages', 'flutter-widget', 'nemonet-new-account', 'readme-profile', 'flutter-examples', 'profile-card-ui', 'flutter-screen', 'flutter-apps', 'github-profile-readme', 'html-css']"
zendy199x,"Web Frontend (Lv2. 강한 의심 / 57점)
 🕵️ 부캐 스캔: Mobile App (Lv1. 의심 / 11점)",100,"{'JavaScript': 32, 'TypeScript': 21, 'Dart': 11}",[]
sarathk73,Web Frontend (Lv1. 의심 / 8점),17,"{'JavaScript': 7, 'Python': 3, 'CSS': 1}","['mediapipe', 'gesturex', 'github-config', 'config', 'opencv-python', 'system-control', 'gesture', 'gesture-recognition']"
thepycoach,X (추론 안됨),26,"{'Jupyter Notebook': 20, 'Python': 3, 'HTML': 2}",[]
heilcheng,"Web Frontend (Lv1. 의심 / 7점)
 🕵️ 부캐 스캔: ML/AI Engineer (Lv1. 의심 / 7.0점)",15,"{'TypeScript': 3, 'JavaScript': 2, 'HTML': 2}","['awesome', 'ai-agents', 'claude', 'vscode', 'skill-md', 'awesome-list', 'mcp', 'benchmarking', 'drug-discovery', 'anthropic']"
EmenstaNougat,X (추론 안됨),16,"{'Batchfile': 4, 'C++': 1, 'Python': 1}","['educational', 'jamming', 'bluejammer', 'minimal', 'esp32c3', 'nrf24l01', 'bluetooth', 'jammer', 'oled', 'flashing']"
xp0unu,Web Frontend (Lv2. 강한 의심 / 63점),36,"{'JavaScript': 10, 'TypeScript': 9, 'Ruby': 4}","['openzeppelin', 'bootstrap', 'webpack', 'openzeppelin-contracts', 'marketplace', 'nft', 'erc721', 'shopping-list', 'nem-blockchain', 'create-react-app']"
sinha-19,"Web Frontend (Lv2. 강한 의심 / 32점)
 🕵️ 부캐 스캔: Web Backend (Lv1. 의심 / 12.0점)",87,"{'JavaScript': 15, 'Java': 10, 'CSS': 8}",[]
